round,client_id,feature,shap_value,shap_source_round,shap_calculated_this_round
1,5,Number,0.0031244145012690795,1,1
1,5,Variance,0.003302402778974454,1,1
2,1,Header_Length,0.003874475264068309,1,0
2,1,Protocol Type,0.001424754470698737,1,0
2,1,Time_To_Live,0.007152227154526685,1,0
2,1,Rate,0.004716354706352846,1,0
2,1,fin_flag_number,0.0002923975042298466,1,0
2,1,syn_flag_number,0.005381189859305646,1,0
2,1,rst_flag_number,0.0006272197132759416,1,0
2,1,psh_flag_number,0.0007238383719801345,1,0
2,1,ack_flag_number,0.010405383009331698,1,0
2,1,ece_flag_number,0.0,1,0
2,1,cwr_flag_number,0.0,1,0
2,1,ack_count,0.005259988172174985,1,0
2,1,syn_count,0.004261624608613643,1,0
2,1,fin_count,0.0009550463694940347,1,0
2,1,rst_count,0.001428563949984607,1,0
2,1,HTTP,0.00024199989921740438,1,0
2,1,HTTPS,0.0018013285218926001,1,0
2,1,DNS,1.386638667807083e-05,1,0
2,1,Telnet,0.0,1,0
2,1,SMTP,0.0,1,0
2,1,SSH,0.0,1,0
2,1,IRC,0.0,1,0
2,1,TCP,0.005383933565356074,1,0
2,1,UDP,0.003555121569487767,1,0
2,1,DHCP,0.0,1,0
2,1,ARP,4.6530492988251794e-05,1,0
2,1,ICMP,0.0006772709998647652,1,0
2,1,IGMP,0.0,1,0
2,1,IPv,5.6215540975873835e-05,1,0
2,1,LLC,2.5652821651831193e-05,1,0
2,1,Tot sum,0.008068662951640136,1,0
2,1,Min,0.0010483953563118042,1,0
2,1,Max,0.004027356765825516,1,0
2,1,AVG,0.010363946816919451,1,0
2,1,Std,0.0071959987955290215,1,0
2,1,Tot size,0.0061749856095856615,1,0
2,1,IAT,0.0070743598135244315,1,0
2,1,Number,0.007881368701178193,1,0
2,1,Variance,0.0007828216410722177,1,0
2,2,Header_Length,0.011196050602650871,1,0
2,2,Protocol Type,0.0033304225916606354,1,0
2,2,Time_To_Live,0.00559893955945995,1,0
2,2,Rate,0.007776550278664445,1,0
2,2,fin_flag_number,0.0010422986810145107,1,0
2,2,syn_flag_number,0.008819938909990128,1,0
2,2,rst_flag_number,0.0018759741558569587,1,0
2,2,psh_flag_number,0.000851283880680127,1,0
2,2,ack_flag_number,0.01146347644258867,1,0
2,2,ece_flag_number,0.0,1,0
2,2,cwr_flag_number,0.0,1,0
2,2,ack_count,0.009286680487906835,1,0
2,2,syn_count,0.009785510693019433,1,0
