round,client_id,feature,shap_value,shap_source_round,shap_calculated_this_round
2,3,Max,0.00031561125593859317,1,0
2,3,AVG,0.002670783528174567,1,0
2,3,Std,0.0013418533416797679,1,0
2,3,Tot size,0.0023736420267585893,1,0
2,3,IAT,0.00147398696390759,1,0
2,3,Number,0.0006236962313001065,1,0
2,3,Variance,0.044085173644727894,1,0
2,4,Header_Length,0.0005182647652983977,1,0
2,4,Protocol Type,0.0002353608597455347,1,0
2,4,Time_To_Live,0.0002366961919536451,1,0
2,4,Rate,8.605770621725839e-05,1,0
2,4,fin_flag_number,3.108827475344097e-06,1,0
2,4,syn_flag_number,0.0054240385226597835,1,0
2,4,rst_flag_number,2.7566838486736983e-06,1,0
2,4,psh_flag_number,2.0551351935829146e-06,1,0
2,4,ack_flag_number,0.0004752753521174187,1,0
2,4,ece_flag_number,0.0,1,0
2,4,cwr_flag_number,0.0,1,0
2,4,ack_count,0.00034489503898583947,1,0
2,4,syn_count,0.004106458500136879,1,0
2,4,fin_count,0.0004353533298103139,1,0
2,4,rst_count,0.0002875837242546538,1,0
2,4,HTTP,3.203600032720172e-06,1,0
2,4,HTTPS,3.6230934501565912e-06,1,0
2,4,DNS,3.13144301184919e-07,1,0
2,4,Telnet,0.0,1,0
2,4,SMTP,0.0,1,0
2,4,SSH,0.0,1,0
2,4,IRC,0.0,1,0
2,4,TCP,0.000324993731829845,1,0
2,4,UDP,0.004541060368052664,1,0
2,4,DHCP,1.3147168957166187e-08,1,0
2,4,ARP,1.6605006721232705e-06,1,0
2,4,ICMP,0.0004445402180072089,1,0
2,4,IGMP,0.0,1,0
2,4,IPv,2.7118101028742884e-06,1,0
2,4,LLC,3.3788984615144567e-06,1,0
2,4,Tot sum,0.017759281011058933,1,0
2,4,Min,6.162591488266478e-05,1,0
2,4,Max,0.0006415474690745006,1,0
2,4,AVG,0.002227146704069639,1,0
2,4,Std,0.002006336713729384,1,0
2,4,Tot size,0.0025111401270748014,1,0
2,4,IAT,0.0030551973852675075,1,0
2,4,Number,0.0009400718119322369,1,0
2,4,Variance,0.03556149660527784,1,0
2,5,Header_Length,0.00022659834147072453,1,0
2,5,Protocol Type,0.00012492692680165745,1,0
2,5,Time_To_Live,0.0003065391186809692,1,0
2,5,Rate,6.306719897055329e-05,1,0
2,5,fin_flag_number,1.3741609181055742e-05,1,0
2,5,syn_flag_number,0.005956237248930204,1,0
2,5,rst_flag_number,1.1490141852674149e-05,1,0
2,5,psh_flag_number,8.547129499267922e-06,1,0
2,5,ack_flag_number,0.0018668696608492806,1,0
2,5,ece_flag_number,0.0,1,0
2,5,cwr_flag_number,0.0,1,0
2,5,ack_count,0.00176427312370754,1,0
2,5,syn_count,0.004269473761995671,1,0
2,5,fin_count,0.00210395545604577,1,0
2,5,rst_count,0.002017842245323702,1,0
2,5,HTTP,2.2230059068209437e-06,1,0
2,5,HTTPS,3.7795224724206876e-06,1,0
2,5,DNS,4.873523358802591e-07,1,0
2,5,Telnet,0.0,1,0
2,5,SMTP,0.0,1,0
2,5,SSH,0.0,1,0
2,5,IRC,0.0,1,0
2,5,TCP,0.00014337695360367993,1,0
2,5,UDP,0.0037659138359007857,1,0
2,5,DHCP,0.0,1,0
2,5,ARP,3.72235556627359e-07,1,0
2,5,ICMP,0.00010731913971495953,1,0
2,5,IGMP,0.0,1,0
2,5,IPv,4.081836956960794e-07,1,0
2,5,LLC,4.500665445867147e-07,1,0
2,5,Tot sum,0.01454019836929734,1,0
2,5,Min,0.00021735372773965526,1,0
2,5,Max,9.269563516069966e-05,1,0
2,5,AVG,0.0034410751996606886,1,0
2,5,Std,0.0005263689438392098,1,0
2,5,Tot size,0.0023256379887642824,1,0
2,5,IAT,0.0017040382932801568,1,0
2,5,Number,0.0005312164978550489,1,0
2,5,Variance,0.01658262613602714,1,0
3,1,Header_Length,0.0010672059247504911,1,0
3,1,Protocol Type,0.00017896568476894972,1,0
3,1,Time_To_Live,0.00034813524552119974,1,0
3,1,Rate,0.00021945613169455176,1,0
3,1,fin_flag_number,1.7862759987340752e-05,1,0
3,1,syn_flag_number,0.0015396714380285716,1,0
3,1,rst_flag_number,1.2159493867901956e-05,1,0
3,1,psh_flag_number,8.084578352111273e-06,1,0
3,1,ack_flag_number,0.0012807616039545828,1,0
3,1,ece_flag_number,0.0,1,0
3,1,cwr_flag_number,0.0,1,0
3,1,ack_count,0.0012181650998265019,1,0
3,1,syn_count,0.0007467917943472504,1,0
3,1,fin_count,0.00279494639124125,1,0
3,1,rst_count,0.001663140994971695,1,0
3,1,HTTP,0.00011825669745725863,1,0
3,1,HTTPS,4.523298405600509e-06,1,0
3,1,DNS,2.1253349642577478e-07,1,0
3,1,Telnet,0.0,1,0
3,1,SMTP,0.0,1,0
3,1,SSH,3.6201745567668726e-08,1,0
3,1,IRC,0.0,1,0
3,1,TCP,0.0008955142561033878,1,0
3,1,UDP,0.0018836139476419668,1,0
3,1,DHCP,0.0,1,0
3,1,ARP,4.739240966820721e-07,1,0
3,1,ICMP,0.0008182104219685203,1,0
3,1,IGMP,0.0,1,0
3,1,IPv,2.80446184257994e-07,1,0
3,1,LLC,3.20129896024034e-07,1,0
3,1,Tot sum,0.025477138283367857,1,0
3,1,Min,5.118604358883179e-05,1,0
3,1,Max,0.0006255521813447379,1,0
3,1,AVG,0.005118944970845175,1,0
3,1,Std,0.0015355324419993386,1,0
3,1,Tot size,0.0034380035464027887,1,0
3,1,IAT,0.0016579371869163506,1,0
3,1,Number,0.000699804514989979,1,0
3,1,Variance,0.027901105350589046,1,0
3,2,Header_Length,0.00021041311560102084,1,0
3,2,Protocol Type,0.00010477484980941982,1,0
3,2,Time_To_Live,0.0002846366140738962,1,0
3,2,Rate,0.00012205178738073754,1,0
3,2,fin_flag_number,1.844393097394656e-05,1,0
3,2,syn_flag_number,0.006148170220113211,1,0
3,2,rst_flag_number,1.368530572175885e-05,1,0
3,2,psh_flag_number,1.3404085845524928e-06,1,0
3,2,ack_flag_number,0.0004201408586147706,1,0
3,2,ece_flag_number,0.0,1,0
3,2,cwr_flag_number,0.0,1,0
3,2,ack_count,0.00031156211257413793,1,0
3,2,syn_count,0.004585788888721023,1,0
3,2,fin_count,0.0036432618777411507,1,0
3,2,rst_count,0.002452985097180513,1,0
3,2,HTTP,5.707916408594708e-05,1,0
3,2,HTTPS,8.166042220105573e-06,1,0
3,2,DNS,1.548234446181659e-07,1,0
3,2,Telnet,2.4658984496472204e-07,1,0
3,2,SMTP,0.0,1,0
3,2,SSH,2.7242569755980177e-07,1,0
3,2,IRC,4.5522890581050535e-08,1,0
3,2,TCP,0.00017394788444282449,1,0
3,2,UDP,0.004722753154889531,1,0
3,2,DHCP,4.314775857294978e-11,1,0
3,2,ARP,1.300184054175405e-07,1,0
3,2,ICMP,0.00010396172329208644,1,0
3,2,IGMP,0.0,1,0
3,2,IPv,2.454820433134172e-07,1,0
3,2,LLC,2.0498001038033374e-07,1,0
3,2,Tot sum,0.01257298690698758,1,0
3,2,Min,0.00020880728479202499,1,0
3,2,Max,0.000883375625703124,1,0
3,2,AVG,0.003086006498366586,1,0
3,2,Std,0.002225944815749649,1,0
3,2,Tot size,0.003120818898709486,1,0
3,2,IAT,0.0009763893928686062,1,0
3,2,Number,0.00042069589188871496,1,0
3,2,Variance,0.025753093813029846,1,0
3,3,Header_Length,8.134335682324896e-05,1,0
3,3,Protocol Type,4.226375424757435e-05,1,0
3,3,Time_To_Live,0.00037145312444563186,1,0
3,3,Rate,3.6082707707547985e-05,1,0
3,3,fin_flag_number,1.4944785279505248e-05,1,0
3,3,syn_flag_number,0.005870927752189186,1,0
3,3,rst_flag_number,1.1473095406652895e-05,1,0
3,3,psh_flag_number,3.859107483358902e-05,1,0
3,3,ack_flag_number,0.003920249801896962,1,0
3,3,ece_flag_number,0.0,1,0
3,3,cwr_flag_number,0.0,1,0
3,3,ack_count,0.004426285660714184,1,0
3,3,syn_count,0.004449514969009586,1,0
3,3,fin_count,0.002245744373503107,1,0
3,3,rst_count,0.0013933655698039052,1,0
3,3,HTTP,6.89560220417757e-06,1,0
3,3,HTTPS,4.0470646978427825e-06,1,0
3,3,DNS,2.2137838630402356e-07,1,0
3,3,Telnet,0.0,1,0
3,3,SMTP,0.0,1,0
3,3,SSH,0.0,1,0
3,3,IRC,0.0,1,0
3,3,TCP,5.444724073450385e-05,1,0
3,3,UDP,0.0017968139828737854,1,0
3,3,DHCP,2.0485721230240492e-08,1,0
3,3,ARP,7.967677536881034e-08,1,0
3,3,ICMP,3.1072958743798154e-05,1,0
3,3,IGMP,4.094651198547788e-08,1,0
3,3,IPv,1.564581374917705e-07,1,0
3,3,LLC,1.1336765189336174e-07,1,0
3,3,Tot sum,0.012862080649328438,1,0
3,3,Min,0.0001448080686576885,1,0
